"Unique_Checklist_ID","Latitude","Longitude","Count","Occur","Common_Name","summer_nbr_TCA_mean_600","summer_nbr_TCB_mean_600","summer_nbr_TCG_mean_600","summer_nbr_TCW_mean_600"
"42.0134_-124.04223_2017-06-03_JRCurtis",42.0134,-124.04223,0,0,"Western Tanager",0.683853001,0.208676388,0.170603686,-0.032079101
"42.01448_-124.04545_2017-06-03_JRCurtis",42.01448,-124.04545,0,0,"Western Tanager",0.682108184,0.208156919,0.169387217,-0.032913924
"42.01467_-124.035_2017-06-03_JRCurtis",42.01467,-124.035,0,0,"Western Tanager",0.682378383,0.200995615,0.163683421,-0.029513217
"42.01855_-124.05017_2017-06-03_JRCurtis",42.01855,-124.05017,0,0,"Western Tanager",0.688331444,0.211225613,0.173850738,-0.03261239
"42.01896_-123.76862_2018-06-29_WDRobinson",42.01896,-123.76862,1,1,"Western Tanager",0.400611168,0.241952972,0.100902757,-0.079470588
"42.02029_-124.23339_2017-06-03_JRCurtis",42.02029,-124.23339,0,0,"Western Tanager",0.179472458,0.294341322,0.079634086,-0.12229831
"42.02231_-123.46297_2018-06-29_JRCurtis",42.02231,-123.46297,1,1,"Western Tanager",0.592202895,0.179895105,0.123354524,-0.039544876
"42.02331_-124.2329_2017-06-03_JRCurtis",42.02331,-124.2329,0,0,"Western Tanager",0.293576374,0.328687695,0.107692049,-0.144321946
"42.02359_-123.4584_2018-06-29_JRCurtis",42.02359,-123.4584,0,0,"Western Tanager",0.583023669,0.180186708,0.1212747,-0.040824456
"42.02419_-123.54572_2018-06-29_JRCurtis",42.02419,-123.54572,1,1,"Western Tanager",0.689105288,0.218655171,0.180292104,-0.025705047
"42.02473_-123.47337_2018-06-29_JRCurtis",42.02473,-123.47337,0,0,"Western Tanager",0.663340817,0.190827959,0.149381939,-0.027135911
"42.02473_-123.77134_2018-06-29_WDRobinson",42.02473,-123.77134,1,1,"Western Tanager",0.392041046,0.255001451,0.104575546,-0.088653329
"42.02526_-124.14048_2017-06-03_JRCurtis",42.02526,-124.14048,0,0,"Western Tanager",0.638886712,0.229605832,0.169627831,-0.043214292
"42.02556_-124.14724_2017-06-03_JRCurtis",42.02556,-124.14724,0,0,"Western Tanager",0.627067354,0.245538363,0.177324284,-0.051480219
"42.02616_-124.1434_2017-06-03_JRCurtis",42.02616,-124.1434,0,0,"Western Tanager",0.640706303,0.240581915,0.179840146,-0.044850208
"42.02737_-123.76681_2018-06-29_WDRobinson",42.02737,-123.76681,1,1,"Western Tanager",0.389276157,0.254330997,0.102810022,-0.090321743
"42.02858_-124.1516_2017-06-03_JRCurtis",42.02858,-124.1516,1,1,"Western Tanager",0.619896105,0.27678792,0.19896374,-0.060236397
"42.02995_-123.76203_2018-06-29_WDRobinson",42.02995,-123.76203,1,1,"Western Tanager",0.373182933,0.259399353,0.099868803,-0.097118886
"42.03012_-124.15554_2017-06-03_JRCurtis",42.03012,-124.15554,1,1,"Western Tanager",0.607495061,0.286608987,0.200511235,-0.068825772
"42.03167_-123.08992_2016-05-19_WDRobinson",42.03167,-123.08992,0,0,"Western Tanager",0.57541653,0.213047227,0.134689608,-0.054385523
"42.03174_-123.07935_2016-05-19_WDRobinson",42.03174,-123.07935,0,0,"Western Tanager",0.580076334,0.2149976,0.136449736,-0.053728457
"42.03192_-123.0836_2016-05-19_WDRobinson",42.03192,-123.0836,1,1,"Western Tanager",0.573753279,0.216978949,0.136271517,-0.055003573
"42.03227_-123.07635_2016-05-19_WDRobinson",42.03227,-123.07635,2,1,"Western Tanager",0.577587248,0.212101803,0.133215875,-0.053520321
"42.03421_-123.75865_2018-06-29_WDRobinson",42.03421,-123.75865,0,0,"Western Tanager",0.343267563,0.267937419,0.094356412,-0.110825568
"42.0365_-123.5494_2018-06-29_JRCurtis",42.0365,-123.5494,0,0,"Western Tanager",0.623734099,0.214557046,0.154449782,-0.036199823
"42.03871_-124.0236_2017-06-03_JRCurtis",42.03871,-124.0236,0,0,"Western Tanager",0.694545383,0.226551156,0.189278406,-0.024614377
"42.04303_-124.10033_2017-06-03_JRCurtis",42.04303,-124.10033,0,0,"Western Tanager",0.689713038,0.225889564,0.187491988,-0.033965886
"42.04426_-124.02435_2017-06-03_JRCurtis",42.04426,-124.02435,0,0,"Western Tanager",0.691828129,0.217684127,0.180407547,-0.025209919
"42.04613_-123.74713_2018-06-29_WDRobinson",42.04613,-123.74713,0,0,"Western Tanager",0.449355999,0.256242149,0.122908183,-0.085596661
"42.04724_-124.02409_2017-06-03_JRCurtis",42.04724,-124.02409,0,0,"Western Tanager",0.690084513,0.209645335,0.173144938,-0.024833921
"42.04819_-124.09077_2017-06-03_JRCurtis",42.04819,-124.09077,0,0,"Western Tanager",0.692679269,0.219561386,0.182875131,-0.034602685
"42.04831_-123.74546_2018-06-29_WDRobinson",42.04831,-123.74546,1,1,"Western Tanager",0.438082745,0.253265276,0.117488568,-0.088149198
"42.04963_-124.02319_2017-06-03_JRCurtis",42.04963,-124.02319,0,0,"Western Tanager",0.690524326,0.214227823,0.177112983,-0.025487895
"42.05083_-124.08717_2017-06-03_JRCurtis",42.05083,-124.08717,1,1,"Western Tanager",0.697084113,0.223019883,0.187000759,-0.03491154
"42.05162_-123.07908_2016-05-19_WDRobinson",42.05162,-123.07908,1,1,"Western Tanager",0.597907865,0.19696696,0.132122006,-0.042809833
"42.05203_-123.74229_2018-06-28_WDRobinson",42.05203,-123.74229,1,1,"Western Tanager",0.424900761,0.255759861,0.112913762,-0.09344502
"42.05228_-123.08943_2016-05-19_WDRobinson",42.05228,-123.08943,1,1,"Western Tanager",0.477304151,0.243936411,0.121472244,-0.087552511
"42.05281_-123.08459_2016-05-19_WDRobinson",42.05281,-123.08459,1,1,"Western Tanager",0.522552322,0.226051598,0.125592773,-0.070912114
"42.09918_-122.59808_2016-05-20_TAHallman",42.09918,-122.59808,1,1,"Western Tanager",0.582682744,0.256851449,0.168280883,-0.073001454
"42.10168_-122.59813_2016-05-20_TAHallman",42.10168,-122.59813,1,1,"Western Tanager",0.583497732,0.2559786,0.167660512,-0.073265661
"42.10381_-122.59896_2016-05-20_TAHallman",42.10381,-122.59896,1,1,"Western Tanager",0.584472129,0.254648015,0.166777404,-0.072114747
"42.10847_-122.3953_2016-05-20_TAHallman",42.10847,-122.3953,2,1,"Western Tanager",0.388341726,0.260284193,0.102761004,-0.108661546
"42.10899_-122.60056_2016-05-20_TAHallman",42.10899,-122.60056,2,1,"Western Tanager",0.560227022,0.261077052,0.161430305,-0.080792522
"42.10988_-122.39443_2016-05-20_TAHallman",42.10988,-122.39443,1,1,"Western Tanager",0.388726909,0.262290971,0.102832493,-0.109733437
