"","x"
"1",4
"2",4
"3",4
"4",5
"5",6
"6",6
"7",3
"8",5
"9",5
"10",5
"11",5
"12",5
"13",5
"14",4
"15",6
"16",9
"17",6
"18",4
"19",9
"20",6
"21",3
"22",7
"23",7
"24",7
"25",4
"26",3
"27",8
"28",8
"29",8
"30",8
"31",8
"32",6
"33",6
"34",8
"35",8
"36",8
"37",6
"38",5
"39",5
"40",5
"41",8
"42",3
"43",9
"44",9
"45",5
"46",9
"47",9
"48",9
"49",9
"50",6
"51",8
"52",8
"53",9
"54",6
"55",6
"56",6
"57",6
"58",5
"59",6
"60",6
"61",9
"62",5
"63",4
"64",4
"65",8
"66",9
"67",8
"68",9
"69",7
"70",4
"71",8
"72",9
"73",5
"74",3
"75",7
"76",7
"77",9
"78",7
"79",3
"80",3
"81",3
"82",3
"83",9
"84",6
"85",9
"86",8
"87",8
"88",8
"89",6
"90",9
"91",7
"92",7
"93",7
"94",8
"95",6
"96",7
"97",7
"98",5
"99",7
"100",8
"101",5
"102",7
"103",7
"104",3
"105",8
"106",8
"107",8
"108",8
"109",3
"110",7
"111",6
"112",6
"113",5
"114",8
"115",9
"116",9
"117",9
"118",9
"119",8
"120",8
"121",8
"122",8
"123",8
"124",8
"125",8
"126",9
"127",8
"128",8
"129",8
"130",8
"131",8
"132",8
"133",8
"134",9
"135",8
"136",9
"137",6
"138",7
"139",8
"140",8
"141",9
"142",9
"143",9
"144",9
"145",9
"146",9
"147",1
"148",2
"149",2
"150",2
"151",1
"152",1
"153",1
"154",1
"155",2
"156",9
"157",1
"158",8
"159",9
"160",9
"161",9
"162",2
"163",9
"164",6
"165",9
"166",9
"167",9
"168",9
"169",6
"170",6
"171",7
"172",7
"173",7
"174",7
"175",8
"176",2
"177",6
"178",2
"179",6
"180",2
"181",6
"182",2
"183",2
"184",2
"185",9
"186",2
"187",9
"188",2
"189",9
"190",9
"191",7
"192",9
"193",9
"194",9
"195",9
"196",9
"197",9
"198",7
"199",6
"200",9
"201",8
"202",9
"203",7
"204",6
"205",7
"206",9
"207",7
"208",6
"209",7
"210",9
"211",6
"212",9
"213",8
"214",7
"215",8
"216",6
"217",7
"218",6
"219",6
"220",6
"221",3
"222",2
"223",1
"224",1
"225",1
"226",1
"227",9
"228",9
"229",9
"230",2
"231",1
"232",1
"233",9
"234",9
"235",1
"236",9
"237",9
"238",9
"239",9
"240",9
"241",1
"242",9
"243",9
"244",2
"245",9
"246",9
"247",1
"248",9
"249",9
"250",9
"251",5
"252",2
"253",1
"254",9
"255",5
"256",5
"257",9
"258",1
"259",5
"260",5
"261",9
"262",1
"263",9
"264",9
"265",1
"266",9
"267",2
"268",4
"269",1
"270",1
"271",4
"272",1
"273",1
"274",4
"275",1
"276",4
"277",1
"278",1
"279",1
"280",1
"281",1
"282",1
"283",1
"284",1
"285",1
"286",2
"287",1
"288",1
"289",1
"290",4
"291",9
"292",2
"293",2
"294",2
"295",2
"296",9
"297",4
"298",1
