"Unique_Checklist_ID","Latitude","Longitude","Count","Occur","Common_Name","summer_nbr_TCA_mean_600","summer_nbr_TCB_mean_600","summer_nbr_TCG_mean_600","summer_nbr_TCW_mean_600"
"42.01348_-124.03847_2017-06-03_JRCurtis",42.01348,-124.03847,3,1,"Hermit Warbler",0.684124623,0.205692266,0.168152638,-0.030673276
"42.01448_-124.04545_2017-06-03_JRCurtis",42.01448,-124.04545,3,1,"Hermit Warbler",0.682108184,0.208156919,0.169387217,-0.032913924
"42.0201_-124.22251_2017-06-03_JRCurtis",42.0201,-124.22251,0,0,"Hermit Warbler",0.469550455,0.312175581,0.157912697,-0.119614261
"42.02273_-124.14082_2017-06-03_JRCurtis",42.02273,-124.14082,1,1,"Hermit Warbler",0.626807645,0.24114965,0.173993067,-0.048693005
"42.02419_-123.54572_2018-06-29_JRCurtis",42.02419,-123.54572,3,1,"Hermit Warbler",0.689105288,0.218655171,0.180292104,-0.025705047
"42.02473_-123.77134_2018-06-29_WDRobinson",42.02473,-123.77134,0,0,"Hermit Warbler",0.392041046,0.255001451,0.104575546,-0.088653329
"42.02529_-124.23009_2017-06-03_JRCurtis",42.02529,-124.23009,0,0,"Hermit Warbler",0.433521501,0.329517222,0.154950259,-0.125343172
"42.02556_-124.14724_2017-06-03_JRCurtis",42.02556,-124.14724,1,1,"Hermit Warbler",0.627067354,0.245538363,0.177324284,-0.051480219
"42.02737_-123.76681_2018-06-29_WDRobinson",42.02737,-123.76681,0,0,"Hermit Warbler",0.389276157,0.254330997,0.102810022,-0.090321743
"42.02914_-124.23379_2017-06-03_JRCurtis",42.02914,-124.23379,0,0,"Hermit Warbler",0.419476794,0.320774223,0.145889499,-0.128627608
"42.02995_-123.76203_2018-06-29_WDRobinson",42.02995,-123.76203,0,0,"Hermit Warbler",0.373182933,0.259399353,0.099868803,-0.097118886
"42.03167_-123.08992_2016-05-19_WDRobinson",42.03167,-123.08992,2,1,"Hermit Warbler",0.57541653,0.213047227,0.134689608,-0.054385523
"42.03175_-124.23504_2017-06-03_JRCurtis",42.03175,-124.23504,0,0,"Hermit Warbler",0.431517906,0.318546122,0.148051711,-0.12365543
"42.03225_-123.54874_2018-06-29_JRCurtis",42.03225,-123.54874,0,0,"Hermit Warbler",0.633971983,0.221870373,0.164145586,-0.03637303
"42.03234_-123.08661_2016-05-19_WDRobinson",42.03234,-123.08661,2,1,"Hermit Warbler",0.566044295,0.217762498,0.134449845,-0.057856898
"42.03871_-124.0236_2017-06-03_JRCurtis",42.03871,-124.0236,0,0,"Hermit Warbler",0.694545383,0.226551156,0.189278406,-0.024614377
"42.03941_-123.7494_2018-06-29_WDRobinson",42.03941,-123.7494,0,0,"Hermit Warbler",0.451445861,0.253045303,0.120017652,-0.084165659
"42.04131_-124.02472_2017-06-03_JRCurtis",42.04131,-124.02472,3,1,"Hermit Warbler",0.694409292,0.224434888,0.187480862,-0.025069951
"42.04613_-123.74713_2018-06-29_WDRobinson",42.04613,-123.74713,0,0,"Hermit Warbler",0.449355999,0.256242149,0.122908183,-0.085596661
"42.04663_-124.08631_2017-06-03_JRCurtis",42.04663,-124.08631,1,1,"Hermit Warbler",0.687549339,0.205377447,0.169401262,-0.034378997
