"","x"
"1",1
"2",1
"3",4
"4",2
"5",1
"6",6
"7",4
"8",7
"9",4
"10",4
"11",2
"12",4
"13",1
"14",2
"15",8
"16",1
"17",3
"18",2
"19",1
"20",2
"21",9
"22",7
"23",7
"24",3
"25",8
"26",1
"27",4
"28",1
"29",1
"30",1
"31",7
"32",7
"33",7
"34",7
"35",2
"36",2
"37",2
"38",7
"39",4
"40",1
"41",7
"42",1
"43",7
"44",3
"45",7
"46",1
"47",3
"48",6
"49",3
"50",7
"51",2
"52",1
"53",1
"54",1
"55",4
"56",7
"57",3
"58",4
"59",2
"60",6
"61",2
"62",2
"63",2
"64",8
"65",7
"66",2
"67",1
"68",8
"69",1
"70",7
"71",6
"72",9
"73",8
"74",3
"75",4
"76",1
"77",3
"78",8
"79",1
"80",2
"81",4
"82",1
"83",6
"84",7
"85",1
"86",1
"87",3
"88",4
"89",2
"90",4
"91",8
"92",2
"93",7
"94",8
"95",8
"96",7
"97",2
"98",1
"99",2
"100",1
"101",1
"102",7
"103",2
"104",4
"105",1
"106",2
"107",6
"108",6
"109",1
"110",1
"111",4
"112",1
"113",8
"114",1
"115",1
"116",7
"117",8
"118",4
"119",8
"120",9
"121",9
"122",2
"123",7
"124",7
"125",7
"126",9
"127",2
"128",6
"129",7
"130",6
"131",1
"132",2
"133",6
"134",1
"135",3
"136",4
"137",2
"138",4
"139",2
"140",4
"141",2
"142",2
"143",8
"144",3
"145",8
"146",3
"147",2
"148",2
"149",3
"150",1
"151",1
"152",2
"153",6
"154",8
"155",7
"156",2
"157",7
"158",8
"159",7
"160",4
"161",1
"162",1
"163",2
"164",4
"165",1
"166",2
"167",4
"168",7
"169",7
"170",1
"171",2
"172",1
"173",2
"174",4
"175",1
"176",8
"177",2
"178",2
"179",1
"180",1
"181",4
"182",7
"183",2
"184",1
"185",2
"186",6
"187",1
"188",4
"189",7
"190",1
"191",1
"192",4
"193",7
"194",6
"195",3
"196",7
"197",2
"198",7
"199",2
"200",6
"201",1
"202",2
"203",2
"204",4
"205",1
"206",3
"207",7
"208",3
"209",4
"210",8
"211",4
"212",4
"213",6
"214",1
"215",8
"216",7
"217",8
"218",1
"219",7
"220",4
"221",3
"222",7
"223",1
"224",2
"225",2
"226",8
"227",6
"228",8
"229",2
"230",2
"231",7
"232",1
"233",4
"234",1
"235",3
"236",1
"237",4
"238",7
"239",4
"240",1
"241",1
"242",3
"243",8
"244",2
"245",3
"246",9
"247",1
"248",1
"249",1
"250",6
"251",3
"252",2
"253",2
"254",1
"255",2
"256",1
"257",9
"258",8
"259",4
"260",2
"261",2
"262",8
"263",8
"264",4
"265",1
"266",1
"267",8
"268",1
"269",1
"270",7
"271",9
"272",3
"273",6
"274",2
"275",3
"276",8
"277",3
"278",2
"279",9
"280",2
"281",1
"282",2
"283",7
"284",7
"285",2
"286",3
"287",8
"288",7
"289",1
"290",7
"291",2
"292",1
"293",6
"294",7
"295",2
"296",6
"297",1
"298",1
"299",7
"300",7
"301",6
"302",8
"303",7
"304",1
"305",1
"306",4
"307",4
"308",1
"309",1
"310",9
"311",7
"312",4
"313",9
"314",3
"315",3
"316",4
"317",7
"318",1
"319",8
"320",4
"321",6
"322",2
"323",2
"324",2
"325",2
"326",4
"327",1
"328",1
"329",7
"330",7
"331",6
"332",6
"333",4
"334",7
"335",8
"336",8
"337",1
"338",3
"339",1
"340",2
"341",8
"342",2
"343",7
"344",2
"345",1
"346",2
"347",3
"348",7
"349",2
"350",3
"351",7
"352",7
"353",7
"354",7
"355",3
"356",1
"357",7
"358",7
"359",4
"360",1
"361",4
"362",6
"363",1
"364",1
"365",1
"366",2
"367",1
"368",8
"369",1
"370",1
"371",2
"372",7
"373",2
"374",7
"375",6
"376",4
"377",2
"378",7
"379",1
"380",7
"381",2
"382",7
"383",3
"384",1
"385",1
"386",7
"387",1
"388",1
"389",4
"390",4
"391",9
"392",3
"393",8
"394",1
"395",1
"396",4
"397",2
"398",7
"399",1
"400",7
"401",2
"402",1
"403",7
"404",1
"405",1
"406",4
"407",1
"408",1
"409",7
"410",1
"411",7
"412",1
"413",4
"414",1
"415",1
"416",6
"417",7
"418",4
"419",2
"420",1
"421",3
"422",3
"423",4
"424",2
"425",2
"426",1
"427",9
"428",4
"429",6
"430",4
"431",2
"432",8
"433",2
"434",8
"435",1
"436",4
"437",6
"438",4
"439",7
"440",8
"441",7
"442",4
"443",7
"444",2
"445",4
"446",6
"447",2
"448",4
"449",3
"450",8
"451",1
"452",3
"453",7
"454",2
"455",2
"456",4
"457",1
"458",7
"459",1
"460",8
"461",8
"462",2
"463",7
"464",1
"465",4
"466",2
"467",8
"468",4
"469",2
"470",1
"471",1
"472",2
"473",7
"474",7
"475",7
"476",7
"477",2
"478",4
"479",4
"480",8
"481",1
