"","x"
"1",2
"2",8
"3",3
"4",8
"5",8
"6",5
"7",7
"8",8
"9",3
"10",1
"11",1
"12",1
"13",7
"14",1
"15",7
"16",7
"17",8
"18",6
"19",1
"20",7
"21",5
"22",8
"23",6
"24",7
"25",9
"26",2
"27",9
"28",2
"29",4
"30",7
"31",3
"32",5
"33",8
"34",5
"35",9
"36",7
"37",1
"38",5
"39",4
"40",3
"41",9
"42",2
"43",3
"44",8
"45",2
"46",3
"47",2
"48",5
"49",7
"50",2
"51",4
"52",2
"53",7
"54",6
"55",2
"56",6
"57",6
"58",2
"59",1
"60",5
"61",6
"62",3
"63",7
"64",7
"65",1
"66",7
"67",3
"68",4
"69",5
"70",2
"71",8
"72",5
"73",1
"74",5
"75",9
"76",5
"77",5
"78",6
"79",4
"80",3
"81",7
"82",8
"83",9
"84",6
"85",1
"86",3
"87",5
"88",2
"89",9
"90",1
"91",6
"92",7
"93",5
"94",5
"95",5
"96",3
"97",7
"98",3
"99",9
"100",3
"101",9
"102",3
"103",5
"104",6
"105",3
"106",8
"107",6
"108",3
"109",1
"110",9
"111",7
"112",5
"113",1
"114",9
"115",1
"116",8
"117",3
"118",5
"119",7
"120",1
"121",5
"122",2
"123",7
"124",7
"125",2
"126",1
"127",8
"128",8
"129",8
"130",5
"131",9
"132",7
"133",4
"134",5
"135",5
"136",7
"137",6
"138",6
"139",6
"140",4
"141",8
"142",8
"143",6
"144",3
"145",8
"146",6
"147",3
"148",5
"149",7
"150",7
"151",7
"152",1
"153",5
"154",7
"155",3
"156",1
"157",8
"158",4
"159",7
"160",8
"161",5
"162",1
"163",8
"164",7
"165",6
"166",2
"167",7
"168",8
"169",3
"170",1
"171",1
"172",7
"173",7
"174",9
"175",5
"176",3
"177",2
"178",1
"179",2
"180",1
"181",4
"182",3
"183",9
"184",5
"185",1
"186",8
"187",9
"188",7
"189",5
"190",8
"191",4
"192",5
"193",2
"194",4
"195",2
"196",7
"197",9
"198",6
"199",1
"200",2
"201",8
"202",4
"203",1
"204",6
"205",5
"206",6
"207",4
"208",2
"209",4
"210",8
"211",8
"212",1
"213",8
"214",6
"215",9
"216",4
"217",6
"218",1
"219",5
"220",2
"221",3
"222",3
"223",4
"224",9
"225",2
"226",8
"227",6
"228",9
"229",4
"230",5
"231",5
"232",9
"233",8
"234",8
"235",8
"236",1
"237",5
"238",9
"239",1
"240",8
"241",8
"242",2
"243",2
"244",3
"245",7
"246",3
"247",6
"248",9
"249",6
"250",6
"251",2
"252",9
"253",4
"254",6
"255",2
"256",4
"257",6
"258",6
"259",5
"260",9
"261",9
"262",4
"263",9
"264",5
"265",5
"266",2
"267",4
"268",2
"269",4
"270",6
"271",5
"272",9
"273",2
"274",8
"275",2
"276",7
"277",2
"278",9
"279",2
"280",5
"281",6
"282",1
"283",7
"284",3
"285",5
"286",2
"287",4
"288",1
"289",8
"290",3
"291",5
"292",3
"293",6
"294",1
"295",3
"296",8
"297",1
"298",3
"299",9
"300",8
"301",5
"302",3
"303",2
"304",1
"305",2
"306",9
"307",3
"308",9
"309",7
"310",9
"311",9
"312",8
"313",4
"314",6
"315",2
"316",8
"317",9
"318",9
"319",3
"320",8
"321",4
"322",3
"323",7
"324",4
"325",2
"326",1
"327",4
"328",2
"329",4
"330",3
"331",9
"332",3
"333",3
"334",8
"335",5
"336",4
"337",6
"338",1
"339",4
"340",7
"341",1
"342",8
"343",2
"344",9
"345",7
"346",7
"347",1
"348",7
"349",5
"350",6
"351",5
"352",1
"353",7
"354",8
"355",1
"356",3
"357",5
"358",4
"359",3
"360",4
"361",5
"362",8
"363",2
"364",2
"365",8
"366",8
"367",2
"368",8
"369",6
"370",1
"371",5
"372",8
"373",9
"374",8
"375",6
"376",5
"377",9
"378",7
"379",4
"380",2
"381",9
"382",6
"383",2
"384",1
"385",4
"386",8
"387",1
"388",6
"389",2
"390",6
"391",5
"392",2
"393",5
"394",4
"395",1
"396",1
"397",6
"398",4
"399",3
"400",7
"401",5
"402",6
"403",3
"404",1
"405",4
"406",1
"407",8
"408",8
"409",4
"410",4
"411",4
"412",5
"413",7
"414",7
"415",1
"416",9
"417",9
"418",6
"419",5
"420",4
"421",5
"422",7
"423",2
"424",9
"425",7
"426",2
"427",8
"428",5
"429",7
"430",4
"431",8
"432",8
"433",8
"434",2
"435",4
"436",3
"437",8
"438",3
"439",1
"440",6
"441",9
"442",2
"443",8
"444",2
"445",3
"446",3
"447",2
"448",5
"449",8
"450",8
"451",1
"452",7
"453",7
"454",6
"455",3
"456",7
"457",9
"458",3
"459",6
"460",8
"461",3
"462",8
"463",8
"464",1
"465",9
"466",1
"467",5
"468",2
"469",9
"470",2
"471",4
"472",3
"473",7
"474",7
"475",1
"476",7
"477",7
"478",4
"479",9
"480",1
"481",2
"482",7
"483",3
"484",6
"485",6
"486",4
"487",5
"488",9
"489",2
"490",9
"491",5
"492",4
"493",4
"494",2
"495",4
"496",9
"497",7
"498",5
"499",1
"500",2
"501",8
"502",1
"503",1
"504",4
"505",1
"506",5
"507",2
"508",6
"509",3
"510",3
"511",5
"512",5
"513",5
"514",5
"515",9
"516",8
"517",6
"518",8
"519",4
"520",7
"521",8
"522",9
"523",1
"524",9
"525",1
"526",3
"527",6
"528",7
"529",1
"530",2
"531",8
"532",3
"533",6
"534",3
"535",9
"536",2
"537",5
"538",7
"539",6
"540",6
"541",5
"542",8
"543",2
"544",4
"545",3
"546",5
"547",2
"548",7
"549",3
"550",3
"551",3
"552",5
"553",6
"554",3
"555",7
"556",7
"557",8
"558",9
"559",2
"560",2
"561",8
"562",7
"563",8
"564",9
"565",2
"566",6
"567",6
"568",8
"569",7
"570",5
"571",5
"572",6
"573",7
"574",4
"575",4
"576",2
"577",3
"578",3
"579",6
"580",4
"581",6
"582",2
"583",7
"584",2
"585",3
"586",8
"587",4
"588",9
"589",6
"590",9
"591",4
"592",9
"593",6
"594",3
"595",9
"596",6
"597",4
"598",9
"599",8
"600",7
"601",6
"602",8
"603",1
"604",1
"605",9
"606",4
"607",9
"608",2
"609",3
"610",3
"611",1
"612",9
"613",2
"614",7
"615",8
"616",9
"617",4
"618",6
"619",4
"620",7
"621",6
"622",5
"623",7
"624",7
"625",7
"626",7
"627",3
"628",3
"629",5
"630",6
"631",4
"632",8
"633",1
"634",5
"635",5
"636",9
"637",4
"638",1
"639",6
"640",5
"641",2
"642",4
"643",1
"644",7
"645",8
"646",4
"647",9
"648",6
"649",4
"650",1
"651",9
"652",1
"653",1
"654",7
"655",4
"656",7
"657",3
"658",7
"659",1
"660",6
"661",2
"662",5
"663",2
"664",8
"665",3
"666",1
"667",9
"668",2
