"","x"
"1",6
"2",5
"3",9
"4",1
"5",4
"6",1
"7",5
"8",8
"9",5
"10",8
"11",3
"12",3
"13",6
"14",8
"15",3
"16",7
"17",8
"18",3
"19",8
"20",5
"21",4
"22",7
"23",5
"24",7
"25",9
"26",9
"27",1
"28",3
"29",8
"30",6
"31",2
"32",7
"33",4
"34",9
"35",7
"36",5
"37",5
"38",2
"39",9
"40",4
"41",2
"42",2
"43",8
"44",3
"45",9
"46",3
"47",3
"48",1
"49",1
"50",6
"51",7
"52",4
"53",8
"54",6
"55",6
"56",3
"57",2
"58",7
"59",8
"60",4
"61",6
"62",1
"63",5
"64",5
"65",6
"66",5
"67",8
"68",6
"69",1
"70",9
"71",2
"72",4
"73",7
"74",6
"75",9
"76",6
"77",5
"78",7
"79",2
"80",8
"81",5
"82",6
"83",2
"84",2
"85",7
"86",1
"87",7
"88",2
"89",5
"90",7
"91",2
"92",3
"93",8
"94",2
"95",8
"96",7
"97",1
"98",7
"99",6
"100",1
"101",7
"102",6
"103",4
"104",1
"105",8
"106",4
"107",8
"108",9
"109",9
"110",8
"111",3
"112",3
"113",5
"114",1
"115",6
"116",3
"117",1
"118",1
"119",9
"120",7
"121",9
"122",7
"123",7
"124",4
"125",4
"126",2
"127",5
"128",5
"129",6
"130",1
"131",3
"132",4
"133",8
"134",2
"135",8
"136",2
"137",8
"138",9
"139",9
"140",7
"141",7
"142",7
"143",3
"144",6
"145",8
"146",2
"147",1
"148",8
"149",9
"150",8
"151",4
"152",6
"153",5
"154",1
"155",2
"156",8
"157",9
"158",6
"159",4
"160",8
"161",7
"162",2
"163",8
"164",9
"165",1
"166",7
"167",1
"168",4
"169",1
"170",9
"171",6
"172",5
"173",7
"174",2
"175",5
"176",4
"177",9
"178",2
"179",3
"180",4
"181",2
"182",4
"183",8
"184",3
"185",2
"186",1
"187",7
"188",8
"189",8
"190",9
"191",8
"192",3
"193",9
"194",5
"195",6
"196",5
"197",1
"198",1
"199",9
"200",6
"201",5
"202",4
"203",6
"204",4
"205",4
"206",7
"207",2
"208",3
"209",7
"210",9
"211",3
"212",1
"213",5
"214",3
"215",8
"216",9
"217",4
"218",5
"219",4
"220",2
"221",7
"222",2
"223",2
"224",4
"225",8
"226",2
"227",7
"228",5
"229",4
"230",4
"231",9
"232",1
"233",3
"234",4
"235",9
"236",9
"237",2
"238",4
"239",7
"240",1
"241",8
"242",6
"243",7
"244",6
"245",8
"246",4
"247",4
"248",9
"249",4
"250",3
"251",1
"252",4
"253",1
"254",3
"255",8
"256",9
"257",9
"258",4
"259",8
"260",6
"261",2
"262",9
"263",7
"264",9
"265",8
"266",3
"267",3
"268",9
"269",5
"270",3
"271",3
"272",2
"273",1
"274",7
"275",5
"276",4
"277",2
"278",2
"279",5
"280",8
"281",3
"282",2
"283",7
"284",6
"285",8
"286",3
"287",2
"288",1
"289",9
"290",4
"291",2
"292",5
"293",4
"294",2
"295",6
"296",5
"297",9
"298",5
"299",5
"300",4
"301",4
"302",7
"303",2
"304",6
"305",3
"306",4
"307",3
"308",9
"309",5
"310",5
"311",4
"312",2
"313",8
"314",2
"315",6
"316",9
"317",5
"318",5
"319",4
"320",5
"321",9
"322",3
"323",4
"324",6
"325",7
"326",7
"327",8
"328",9
"329",2
"330",1
"331",5
"332",9
"333",7
"334",3
"335",5
"336",6
"337",8
"338",4
"339",9
"340",4
"341",3
"342",1
"343",4
"344",1
"345",7
"346",8
"347",8
"348",7
"349",4
"350",7
"351",2
"352",4
"353",5
"354",6
"355",2
"356",4
"357",7
"358",6
"359",6
"360",4
"361",7
"362",4
"363",2
"364",6
"365",2
"366",1
"367",7
"368",4
"369",8
"370",6
"371",5
"372",7
"373",9
"374",6
"375",6
"376",8
"377",8
"378",5
"379",6
"380",8
"381",9
"382",5
"383",7
"384",1
"385",4
"386",6
"387",1
"388",1
"389",1
"390",6
"391",1
"392",5
"393",4
"394",4
"395",6
"396",3
"397",8
"398",6
"399",4
"400",7
"401",9
"402",5
"403",5
"404",2
"405",7
"406",3
"407",2
"408",4
"409",6
"410",2
"411",5
"412",4
"413",8
"414",5
"415",3
"416",2
"417",8
"418",8
"419",9
"420",3
"421",9
"422",9
"423",8
"424",8
"425",9
"426",6
"427",9
"428",6
"429",5
"430",1
"431",1
"432",9
"433",6
"434",1
"435",8
"436",4
"437",5
"438",5
"439",3
"440",8
"441",5
"442",2
"443",4
"444",4
"445",8
"446",5
"447",1
"448",1
"449",1
"450",7
"451",8
"452",2
"453",6
"454",3
"455",2
"456",2
"457",4
"458",3
"459",1
"460",2
"461",7
"462",3
"463",8
"464",9
"465",8
"466",9
"467",6
"468",4
"469",7
"470",8
"471",2
"472",3
"473",5
"474",8
"475",3
"476",1
"477",6
"478",3
"479",2
"480",5
"481",9
"482",7
"483",3
