"","x"
"1",9
"2",6
"3",3
"4",2
"5",5
"6",4
"7",8
"8",4
"9",3
"10",7
"11",5
"12",8
"13",7
"14",3
"15",9
"16",2
"17",7
"18",3
"19",6
"20",4
"21",4
"22",3
"23",7
"24",5
"25",9
"26",5
"27",5
"28",3
"29",6
"30",3
"31",9
"32",7
"33",1
"34",2
"35",2
"36",2
"37",4
"38",6
"39",2
"40",6
"41",1
"42",2
"43",2
"44",7
"45",4
"46",3
"47",1
"48",3
"49",3
"50",3
"51",6
"52",2
"53",8
"54",9
"55",5
"56",1
"57",2
"58",3
"59",5
"60",9
"61",3
"62",7
"63",1
"64",1
"65",4
"66",4
"67",4
"68",6
"69",6
"70",5
"71",9
"72",2
"73",7
"74",5
"75",1
"76",2
"77",4
"78",8
"79",7
"80",9
"81",9
"82",5
"83",9
"84",8
"85",9
"86",4
"87",6
"88",8
"89",8
"90",9
"91",5
"92",6
"93",8
"94",6
"95",5
"96",4
"97",5
"98",2
"99",2
"100",6
"101",2
"102",1
"103",3
"104",7
"105",5
"106",2
"107",3
"108",6
"109",3
"110",6
"111",8
"112",4
"113",1
"114",6
"115",6
"116",4
"117",4
"118",7
"119",9
"120",3
"121",8
"122",3
"123",5
"124",1
"125",3
"126",3
"127",3
"128",6
"129",9
"130",1
"131",1
"132",8
"133",7
"134",1
"135",5
"136",3
"137",9
"138",8
"139",3
"140",1
"141",1
"142",5
"143",5
"144",1
"145",8
"146",4
"147",7
"148",6
"149",7
"150",2
"151",7
"152",3
"153",4
"154",1
"155",8
"156",8
"157",2
"158",4
"159",2
"160",1
"161",7
"162",1
"163",9
"164",2
"165",7
"166",1
"167",4
"168",7
"169",6
"170",3
"171",5
"172",2
"173",3
"174",1
"175",7
"176",3
"177",8
"178",6
"179",5
"180",7
"181",2
"182",8
"183",3
"184",2
"185",9
"186",7
"187",5
"188",6
"189",6
"190",9
"191",2
"192",6
"193",8
"194",6
"195",6
"196",1
"197",1
"198",1
"199",3
"200",5
"201",2
"202",8
"203",8
"204",8
"205",6
"206",1
"207",8
"208",9
"209",1
"210",7
"211",2
"212",8
"213",3
"214",7
"215",1
"216",1
"217",2
"218",9
"219",9
"220",8
"221",5
"222",8
"223",4
"224",8
"225",5
"226",9
"227",5
"228",1
"229",8
"230",4
"231",6
"232",9
"233",8
"234",3
"235",3
"236",2
"237",7
"238",1
"239",6
"240",3
"241",5
"242",1
"243",3
"244",6
"245",7
"246",4
"247",7
"248",6
"249",2
"250",2
"251",2
"252",6
"253",8
"254",2
"255",9
"256",5
"257",6
"258",1
"259",2
"260",6
"261",2
"262",4
"263",5
"264",7
"265",5
"266",2
"267",1
"268",6
"269",8
"270",8
"271",5
"272",1
"273",8
"274",7
"275",8
"276",4
"277",6
"278",2
"279",7
"280",7
"281",6
"282",8
"283",5
"284",8
"285",6
"286",3
"287",5
"288",4
"289",4
"290",6
"291",2
"292",6
"293",4
"294",1
"295",6
"296",3
"297",9
"298",1
"299",8
"300",5
"301",4
"302",1
"303",1
"304",3
"305",7
"306",3
"307",1
"308",1
"309",7
